Component;A;B;C;tMin[C];tMax[C];Structure
methanol;8,08097;1582,271;239,726;15;84;CH3-OH
ethanol;8,1122;1592,864;226,184;20;93;CH3-CH2-OH
1-propanol;7,74416;1437,686;198,463;60;106;CH3-2|CH2-OH
2-propanol;8,87829;2010,33;252,636;-26;83;CH3-2|CH2-OH
1-butanol;7,36366;1305,198;173,427;89;126;CH3-3|CH2-OH
2-butanol;7,20131;1157;168,279;72;107;CH3-3|CH2-OH
ethylene glycol;7,251620842;1448,565085;134,1182017;80;200;2|CH2-2|OH
ethane;6,82915;663,72;256,681;-143;-84;2|CH3
propane;6,80338;804;247,04;-108;-35,65;2|CH3-CH2
n-butane;6,80776;935,77;238,789;-78;19;2|CH3-2|CH2
n-pentane;6,85296;1064,84;232,012;-50;58;2|CH3-3|CH2
n-hexane;6,87601;1171,17;224,408;-25;92;2|CH3-4|CH2
n-heptane;6,89677;1264,9;216,544;-2;123;2|CH3-5|CH2
n-octane;6,91868;1351,99;209,155;19;152;2|CH3-6|CH2
n-nonane;6,93893;1431,82;202,11;39;178;2|CH3-7|CH2
n-decane;6,94363;1495,17;193,858;58;203;2|CH3-8|CH2
cyclohexane;6,85146;1206,47;223,136;7;81;6|ACCH2
toluene;6,95087;1342,31;219,187;-27;111;5|ACH-ACCH3
benzene;6,87987;1196,76;219,161;8;80;6|ACH
acetone;7,11714;1210,595;229,664;-13;55;CH3CO-CH3
water;8,07131;1730,63;233,426;1;100;H2O
acetonitrile;7,33986;1482,29;250,523;-27;82;CH3CN
diethyl ether;6,92032;1064,066;228,799;-60;20;2|CH3-CH2-CH2O
ethylbenzene;6,95719;1424,255;213,206;26;163;CH3-5|ACH-ACCH2